Questão;Alternativa A;Alternativa B;Alternativa C;Alternativa D;Alternativa correta;Nivel de dificuldade;Dica
"Qual era a principal tarefa de muitas das primeiras ""computadoras humanas""?";Montar circuitos eletrônicos;Escrever código de programação;Realizar cálculos matemáticos;Testar softwares;C;1;Reflita sobre o papel de pessoas que operavam manualmente métodos e algoritmos para resolver problemas numéricos.
Qual cientista da computação é amplamente reconhecida como a primeira programadora de computadores?;Grace Hopper;Ada Lovelace;Katherine Johnson;Jean E. Sammet;B;1;Lembre-se do nome que é frequentemente citado em inspirações de linguagens de programação.
Em que século as mulheres começaram a ter um papel notável na computação?;Século XVIII;Século XIX;Século XX;Século XXI;C;1;Reflita sobre a era em que as grandes transformações tecnológicas impulsionaram a participação feminina.
Qual era o nome da máquina teórica para a qual Ada Lovelace escreveu o primeiro algoritmo?;ENIAC;Colossus;Motor Analítico;Harvard Mark I;C;1;Concentre-se na ideia de “máquina de calcular” idealizada por Charles Babbage.
"Antes do surgimento dos computadores eletrônicos, o termo ""computador"" se referia a:";Uma máquina de calcular mecânica;Um dispositivo eletrônico simples;Uma pessoa que realizava cálculos;Um tipo de software;C;1;Considere a época em que as funções agora atribuídas às máquinas eram desempenhadas por humanos.
Qual guerra impulsionou significativamente o desenvolvimento da computação e o recrutamento de mulheres para essa área?;Guerra Civil Americana;Primeira Guerra Mundial;Segunda Guerra Mundial;Guerra Fria;C;1;Considere um conflito global que modificou muitos papéis sociais, principalmente para suprir a falta de mão de obra masculina.
Qual foi uma das primeiras máquinas eletromecânicas de computação usadas durante a Segunda Guerra Mundial?;Ábaco;Pascalina;Harvard Mark I;ENIAC;C;1;Lembre-se de uma máquina que marcou a transição das técnicas manuais para a automação eletromecânica.
Que tipo de trabalho muitas mulheres realizavam com cartões perfurados nas primeiras máquinas de computação?;Design de hardware;Entrada de dados e programação básica;Manutenção mecânica;Venda de equipamentos;B;1;Lembre-se que esse trabalho foi fundamental para que os computadores funcionassem corretamente.
Qual foi o nome do primeiro computador eletrônico digital de propósito geral?;UNIVAC I;Colossus;ENIAC;Z3;C;1;Pense no pioneiro entre os computadores digitais, que revolucionou a área com sua capacidade de processar dados.
Qual foi uma das primeiras linguagens de programação de alto nível?;Assembly;Máquina;FORTRAN;C++;C;1;Pense na linguagem que ajudou a tornar os computadores mais acessíveis a programadores didáticos e acadêmicos.
"Quem cunhou o termo ""bug"" no contexto da computação?";Ada Lovelace;Grace Hopper;Katherine Johnson;Mary Jackson;B;1;Concentre-se em uma das pioneiras que contribuiu tanto com a prática quanto com a terminologia da programação.
